title,release_date,popularity,original_language,overview,genre_ids,adult,pathPoster
We All Loved Each Other So Much,1974-12-21,9.64,it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.","[18, 35]",False,./posters/We_All_Loved_Each_Other_So_Much_1974.jpg
City Lights,1931-02-06,16.065,en,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,"[35, 18, 10749]",False,./posters/City_Lights_1931.jpg
The Intouchables,2011-11-02,63.301,fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,"[18, 35]",False,./posters/The_Intouchables_2011.jpg
It's a Wonderful Life,1946-12-20,41.951,en,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.","[18, 10751, 14]",False,./posters/It's_a_Wonderful_Life_1946.jpg
Apocalypse Now,1979-05-19,50.379,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","[18, 10752]",False,./posters/Apocalypse_Now_1979.jpg
Taylor Swift: Reputation Stadium Tour,2018-12-31,10.349,en,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",[10402],False,./posters/Taylor_Swift:_Reputation_Stadium_Tour_2018.jpg
Miracle in Cell No. 7,2019-10-10,27.999,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",[18],False,./posters/Miracle_in_Cell_No._7_2019.jpg
Paths of Glory,1957-10-25,20.411,en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,"[10752, 18, 36]",False,./posters/Paths_of_Glory_1957.jpg
The Legend of 1900,1998-10-28,24.262,it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.","[18, 10402]",False,./posters/The_Legend_of_1900_1998.jpg
The Lion King,1994-06-15,141.041,en,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.","[10751, 16, 18]",False,./posters/The_Lion_King_1994.jpg
TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,36.604,en,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",[10402],False,./posters/TAYLOR_SWIFT_|_THE_ERAS_TOUR_2023.jpg
Violet Evergarden: The Movie,2020-09-18,22.614,ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.","[16, 14, 10749, 18]",False,./posters/Violet_Evergarden:_The_Movie_2020.jpg
Oldboy,2003-11-21,65.603,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.","[18, 53, 9648, 28]",False,./posters/Oldboy_2003.jpg
Clouds,2020-10-09,16.762,en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.","[10402, 18, 10749]",False,./posters/Clouds_2020.jpg
Come and See,1985-10-17,28.265,ru,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.","[18, 10752]",False,./posters/Come_and_See_1985.jpg
